00, 00, 0
00, 00, 1
00, 00, 2
00, 00, 3
00, 30, 1
00, 30, 2
00, 30, 3
00, 31, 0
00, 31, 2
00, 31, 3
00, 32, 0
00, 32, 1
00, 32, 3
00, 33, 0
00, 33, 1
00, 33, 2
00, 10, 1
00, 10, 3
00, 11, 0
00, 11, 2
00, 50, 1
00, 50, 2
00, 51, 2
00, 51, 3
00, 52, 0
00, 52, 3
00, 53, 0
00, 53, 1
00, 40, 2
00, 41, 3
00, 42, 0
00, 43, 1
30, 00, 0
30, 00, 1
30, 00, 3
30, 30, 1
30, 30, 3
30, 31, 0
30, 31, 3
30, 32, 0
30, 32, 1
30, 32, 2
30, 32, 3
30, 33, 0
30, 33, 1
30, 10, 1
30, 10, 2
30, 10, 3
30, 11, 0
30, 50, 1
30, 51, 3
30, 52, 0
30, 52, 2
30, 52, 3
30, 53, 0
30, 53, 1
30, 53, 2
30, 41, 2
30, 41, 3
30, 42, 0
30, 42, 2
30, 43, 1
30, 43, 2
30, 20, 2
31, 00, 0
31, 00, 1
31, 00, 2
31, 30, 1
31, 30, 2
31, 31, 0
31, 31, 2
31, 32, 0
31, 32, 1
31, 33, 0
31, 33, 1
31, 33, 2
31, 33, 3
31, 10, 1
31, 11, 0
31, 11, 2
31, 11, 3
31, 50, 1
31, 50, 2
31, 50, 3
31, 51, 2
31, 52, 0
31, 53, 0
31, 53, 1
31, 53, 3
31, 40, 2
31, 40, 3
31, 42, 0
31, 42, 3
31, 43, 1
31, 43, 3
31, 20, 3
32, 00, 1
32, 00, 2
32, 00, 3
32, 30, 0
32, 30, 1
32, 30, 2
32, 30, 3
32, 31, 2
32, 31, 3
32, 32, 1
32, 32, 3
32, 33, 1
32, 33, 2
32, 10, 0
32, 10, 1
32, 10, 3
32, 11, 2
32, 50, 0
32, 50, 1
32, 50, 2
32, 51, 0
32, 51, 2
32, 51, 3
32, 52, 3
32, 53, 1
32, 40, 0
32, 40, 2
32, 41, 0
32, 41, 3
32, 43, 0
32, 43, 1
32, 20, 0
33, 00, 0
33, 00, 2
33, 00, 3
33, 30, 2
33, 30, 3
33, 31, 0
33, 31, 1
33, 31, 2
33, 31, 3
33, 32, 0
33, 32, 3
33, 33, 0
33, 33, 2
33, 10, 3
33, 11, 0
33, 11, 1
33, 11, 2
33, 50, 2
33, 51, 1
33, 51, 2
33, 51, 3
33, 52, 0
33, 52, 1
33, 52, 3
33, 53, 0
33, 40, 1
33, 40, 2
33, 41, 1
33, 41, 3
33, 42, 0
33, 42, 1
33, 20, 1
10, 00, 1
10, 00, 3
10, 30, 0
10, 30, 1
10, 30, 3
10, 31, 3
10, 32, 1
10, 32, 2
10, 32, 3
